Designator,Mid X,Mid Y,Rotation,Layer
_43,145.59839,-53.086,0.0,top
_42,158.29839,-53.06416,0.0,top
_41,148.1328,-57.58536,180.0,top
_40,122.7328,-57.58536,180.0,top
_39,150.6728,-57.58536,180.0,top
_38,115.1128,-57.58536,180.0,top
_37,125.2728,-57.58536,180.0,top
_36,127.8128,-57.58536,180.0,top
_35,137.9728,-57.58536,180.0,top
_34,155.75839,-53.06416,0.0,top
_33,130.35839,-53.06416,0.0,top
_32,112.5728,-57.58536,180.0,top
_31,140.5128,-57.58536,180.0,top
_30,127.81839,-53.06416,0.0,top
_29,143.0528,-57.58536,180.0,top
_28,153.2128,-57.58536,180.0,top
_27,150.67839,-53.06416,0.0,top
_26,143.05839,-53.06416,0.0,top
_25,153.21839,-53.06416,0.0,top
_24,120.1928,-57.58536,180.0,top
_23,117.61216,-57.626,180.0,top
_22,122.73839,-53.06416,0.0,top
_21,160.83839,-53.06416,0.0,top
_20,160.8328,-57.58536,180.0,top
_19,125.27839,-53.06416,0.0,top
_18,137.97839,-53.06416,0.0,top
_17,148.13839,-53.06416,0.0,top
_16,145.5928,-57.58536,180.0,top
_15,135.4328,-57.58536,180.0,top
_14,140.51839,-53.06416,0.0,top
_13,109.165645,-117.0526,0.0,top
_12,117.65839,-53.06416,0.0,top
_11,120.19839,-53.06416,0.0,top
_10,179.445665,-117.0526,0.0,top
_9,107.665775,-55.32476,0.0,top
_8,130.3528,-57.58536,180.0,top
_7,158.2928,-57.58536,180.0,top
_6,115.11839,-53.06416,0.0,top
_5,155.7528,-57.58536,180.0,top
_4,135.43839,-53.06416,0.0,top
_3,132.8928,-57.58536,180.0,top
_2,132.89839,-53.06416,0.0,top
,165.665655,-55.32476,0.0,top
C1,119.0244,-46.7868,90.0,top
C2,114.808,-46.7868,90.0,top
D1,165.7096,-43.3482,270.0,bottom
D10,164.1582,-89.0524,0.0,top
D11,132.2488,-60.6552,180.0,top
D12,139.192,-60.71235,0.0,top
D13,152.908,-104.4702,0.0,top
D14,143.7914,-104.4702,180.0,top
D15,121.92,-42.799,270.0,bottom
D2,129.0828,-43.429,270.0,bottom
D3,150.3426,-43.3682,270.0,bottom
D4,124.0028,-86.4616,180.0,top
D5,124.0028,-90.7288,180.0,top
D6,164.42182,-63.50127,0.0,top
D7,126.1528,-98.6028,270.0,top
D8,162.0266,-98.6028,270.0,top
D9,164.2598,-92.71,0.0,top
F1,177.9524,-56.6928,0.0,top
J1,112.575595,-56.59476,270.0,bottom
J10,180.4074,-88.5858,270.0,top
J11,180.2804,-61.357,270.0,top
J12,116.8996,-89.4809,90.0,top
J13,121.971055,-114.1603,90.0,bottom
J2,138.3538,-44.7188,180.0,top
J3,110.132625,-47.55972,0.0,top
J5,172.3644,-58.6486,270.0,top
J6,108.009945,-89.4809,90.0,top
J7,116.9764,-118.5584,180.0,top
J8,123.8852,-118.5584,180.0,top
J9,148.999445,-118.53875,180.0,top
L1,116.9416,-47.5742,180.0,top
R1,144.4752,-47.0032,90.0,top
R10,152.9588,-62.1538,0.0,top
R11,163.1688,-49.5808,180.0,bottom
R12,126.5428,-48.8442,180.0,bottom
R13,147.8018,-49.4792,180.0,bottom
R14,137.2108,-64.389,180.0,bottom
R15,112.6236,-62.5978,90.0,top
R2,132.2324,-47.0032,90.0,top
R3,157.5562,-60.0837,0.0,top
R4,119.076,-59.6392,180.0,top
R5,158.02991,-62.22365,0.0,top
R6,119.076,-61.976,180.0,top
R7,145.9746,-59.5884,180.0,top
R8,151.942,-60.0964,0.0,top
R9,146.0,-62.1792,180.0,top
SW1,160.5026,-50.4544,90.0,bottom
U1,118.075075,-74.7014,0.0,bottom
U10,132.67055,-100.4132,0.0,top
U2,137.6172,-72.2884,0.0,top
U3,170.468925,-76.0476,180.0,bottom
U4,113.90338,-74.6633,0.0,top
U5,113.97958,-102.9843,0.0,top
U6,134.4422,-112.334675,90.0,bottom
U7,161.544255,-112.347375,90.0,bottom
U8,174.844075,-103.0478,180.0,top
U9,174.818675,-76.0984,180.0,top
